Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2016","2016","%","28.44","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2017","2017","%","64.83","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2017","2017","%","27.86","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2018","2018","%","64.42","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2018","2018","%","27.29","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2019","2019","%","64.05","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2019","2019","%","27.29","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2020","2020","%","63.46","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2020","2020","%","27.29","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2021","2021","%","63.3","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2021","2021","%","27.29","E","Estimated value",""
"RL","Land Use","032","Argentina","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2022","2022","%","62.84","E","Estimated value",""
"RL","Land Use","032","Argentina","7209","Share in Land area","6655","Permanent meadows and pastures","2022","2022","%","27.29","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2002","2002","%","8.84","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2003","2003","%","9.59","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2004","2004","%","9.77","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2005","2005","%","10.3","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2006","2006","%","10.59","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2007","2007","%","10.9","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2008","2008","%","11.21","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2009","2009","%","11.51","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2010","2010","%","11.81","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2011","2011","%","12.13","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2012","2012","%","12.44","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2013","2013","%","12.75","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2014","2014","%","13.05","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2015","2015","%","13.02","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2016","2016","%","12.7","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2017","2017","%","12.37","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","12.96","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","13.64","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","13.69","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2021","2021","%","13.98","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6621","Arable land","2022","2022","%","14.33","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2002","2002","%","0.48","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2003","2003","%","0.53","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2004","2004","%","0.54","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2005","2005","%","0.54","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2006","2006","%","0.56","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2007","2007","%","0.59","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2008","2008","%","0.59","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2009","2009","%","0.58","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2010","2010","%","0.58","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2011","2011","%","0.58","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2012","2012","%","0.59","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2013","2013","%","0.6","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2014","2014","%","0.61","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2015","2015","%","0.64","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2016","2016","%","0.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2017","2017","%","0.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2018","2018","%","0.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","0.66","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","0.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2021","2021","%","0.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6650","Permanent crops","2022","2022","%","0.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2002","2002","%","90.67","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2002","2002","%","31.23","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2003","2003","%","89.88","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2003","2003","%","30.41","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2004","2004","%","89.69","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2004","2004","%","30.32","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2005","2005","%","89.16","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2005","2005","%","30.42","A","Official figure",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2006","2006","%","88.85","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2006","2006","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2007","2007","%","88.51","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2007","2007","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2008","2008","%","88.21","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2008","2008","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2009","2009","%","87.91","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2009","2009","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2010","2010","%","87.61","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2010","2010","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2011","2011","%","87.29","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2011","2011","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2012","2012","%","86.97","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2012","2012","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2013","2013","%","86.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2013","2013","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2014","2014","%","86.34","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2014","2014","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2015","2015","%","86.34","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2015","2015","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2016","2016","%","86.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2016","2016","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2017","2017","%","86.98","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2017","2017","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2018","2018","%","86.39","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2018","2018","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2019","2019","%","85.7","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2019","2019","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2020","2020","%","85.65","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2020","2020","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2021","2021","%","85.37","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2021","2021","%","30.46","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2022","2022","%","85.02","E","Estimated value",""
"RL","Land Use","068","Bolivia (Plurinational State of)","7209","Share in Land area","6655","Permanent meadows and pastures","2022","2022","%","30.46","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2002","2002","%","20.39","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2003","2003","%","20.64","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2004","2004","%","20.88","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2005","2005","%","21.12","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2006","2006","%","21.36","A","Official figure",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2007","2007","%","21.57","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2008","2008","%","21.77","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2009","2009","%","21.97","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2010","2010","%","22.17","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2011","2011","%","22.37","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2012","2012","%","22.57","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2013","2013","%","22.77","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2014","2014","%","22.96","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2015","2015","%","23.16","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2016","2016","%","23.35","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2017","2017","%","23.54","A","Official figure",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","23.81","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","24.09","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","24.37","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2021","2021","%","24.66","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6621","Arable land","2022","2022","%","24.96","A","Official figure",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2002","2002","%","4.45","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2003","2003","%","4.61","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2004","2004","%","4.78","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2005","2005","%","4.94","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2006","2006","%","5.1","A","Official figure",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2007","2007","%","4.93","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2008","2008","%","4.76","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2009","2009","%","4.59","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2010","2010","%","4.42","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2011","2011","%","4.26","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2012","2012","%","4.09","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2013","2013","%","3.92","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2014","2014","%","3.76","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2015","2015","%","3.6","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2016","2016","%","3.44","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2017","2017","%","3.27","A","Official figure",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2018","2018","%","3.31","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","3.35","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","3.39","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2021","2021","%","3.44","E","Estimated value",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6650","Permanent crops","2022","2022","%","3.48","A","Official figure",""
"RL","Land Use","076","Brazil","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2002","2002","%","75.16","E","Estimated value",""
